songs,artists,lyrics,length
All You Wanted,Michelle Branch,"wanted like wanted everything tried like got swept away know cold needed someone show way took hand figured tide comes, i'd take away want save take away lonely inside busy wanted somebody care i'm sinking slowly hurry, hold hand keep hanging please, tell me? finally see go gone might also like want save take away lonely inside busy wanted somebody care wanted somebody care need me, know i'll oh-oh, whoa, yeah want save take away (i take away) lonely inside busy wanted somebody care oh, whoa (and wanted somebody cares) oh, oh, oh, oh want (if want to) save (oh) take away (i take away) lonely inside busy wanted somebody care please, tell me? finally see go gone3embed",1294
Get the Party Started,Pink,"ha-ha i'm comin' up, better get party started i'm comin' up, better get party started get party started saturday night everybody's waiting arrive sending message friend we'll looking flashy mercedes benz got lot style, check gold diamond ring go mile know mean i'm comin' up, better get party started (i'm comin' up, i'm comin') i'm comin' up, better get party started pumping volume, breaking beat cruising westside, we'll checking scene boulevard freaking i'm coming fast i'll burning rubber, kissing as pull bumper, get car license plate says, ""stunner: #1 superstar"" see p!nk liveget ticket low $50you might also like i'm comin' up, better get party started (i'm comin' up, better) i'm comin' up, better get party started get party started making connection enter room everybody's chillin' set groove pumping volume brand new beat everybody's dancing they're dancing i'm operator, call anytime i'll connection party line i'm comin' up, better get party started (i'm comin' up, i'm comin') i'm comin' up, better get party started (i'm comin' up, i'm comin') i'm comin' up, better get party started (i'm comin' up, better) i'm comin' up, better get party started get party started (ooh) get party started right get party started (ooh) get party started get party started right now5embed",1723
Hero,Chad Kroeger,"let hero would dance, asked dance? would run, never look back? would cry, saw crying? would save soul, tonight? would tremble, touched lips? would laugh? oh please, tell would die, one loved? hold arms, tonight hero, baby kiss away pain stand forever take breath away would swear, always mine would lie? would run hide? deep? lost mind? care, tonight see enrique iglesias liveget ticket low $63you might also like hero, baby kiss away pain stand forever take breath away oh, wanna hold wanna hold oh, yeah deep? lost mind? well, care tonight hero, baby kiss away pain (oh yeah) stand forever take breath away hero kiss away pain stand forever take breath away take breath away hero34embed",1182
Wasting My Time,Default,"want see waiting i've already gone far away still can't keep day ending messed-up reason stay well real, afraid feel hit floor, ask i'm wasting time i'm wasting time can't stop feeling, reason make call take whoa-oh, month went u pretending light turn green red? took chance left standing lost well real, afraid feel hit floor, ask i'm wasting time i'm wasting time can't stop feeling, reason make call take i'm wasting time i'm wasting time whoa-oh, might also like see waiting look lonely see waiting see waiting well, real, afraid feel hit floor, ask i'm wasting time i'm wasting my, oh well, real, afraid feel hit floor, ask i'm wasting time i'm wasting time can't stop feeling, reason make call take whoa-oh, again4embed",1237
One Last Breath,Creed,"please come think i'm falling i'm holding think safe seems found road nowhere i'm trying escape yelled back heard thunder i'm one last breath let say let say hold i'm six foot edge i'm thinking maybe six foot ain't far i'm looking reflecting mistake thought found road somewhere somewhere grace cried out, ""heaven save me"" i'm one last breath let say let say see creed liveget ticket low $14you might also like hold i'm six foot edge i'm thinking maybe six foot ain't far hold i'm six foot edge i'm thinking maybe six foot ain't far i'm far sad eye follow still believe there's something left please come stay 'cause still believe there's something left hold i'm six foot edge i'm thinking hold i'm six foot edge i'm thinking maybe six foot ain't far hold i'm six foot edge i'm thinking maybe six foot ain't far please come think i'm falling i'm holding think safe12embed",1316
"Whenever, Wherever",Shakira,"lucky born far away could make fun distance lucky love foreign land lucky fact existence baby, would climb andes solely count freckle body never could imagine ten million way love somebody le-do-lo-le-lo-le le-do-lo-le-lo-le can't see? i'm foot whenever, wherever we're meant together i'll there, near that's deal, dear thereover, hereunder never wonder always play ear that's deal, dear might also like lucky lip mumble spill kiss like fountain lucky breast small humble confuse mountain lucky strong leg like mother run cover need two eyes, day leave, cry river le-do-lo-le-lo-le le-do-lo-le-lo-le foot i'm foot whenever, wherever we're meant together i'll there, near that's deal, dear thereover, hereunder above, always play ear that's deal, dear le-do-lo-le-lo-le le-do-lo-le-lo-le think loud say le-do-lo-le-lo-le-lo-le tell one time live lost eye whenever, wherever we're meant together i'll there, near that's deal, dear thereover, hereunder got head heel there's nothing left fear really feel way feel whenever, wherever we're meant together i'll there, near that's deal, dear thereover, hereunder got head heel there's nothing left fear really feel way feel23embed",1761
I'm Gonna Be Alright,Jennifer Lopez,"oh, yes yes, did, baby yes, funny 'cause walked around smile deep inside, could hear voice telling ain't right know you? always knew hard get away 'cause love you, tried stay used say (yes, did) telling everybody (oh, yes) though brings tear eyes, feel know inside i'ma alright (i'ma alright) said (yes, did) telling everybody (oh, yes) though brings tear eyes, feel voice inside say i'm gonna alright friend mine say say got control alone, played part saw way start could expect much you? girl first met best could realize can't change might also like used say (ooh) telling everybody though brings tear eyes, feel know inside i'ma alright (be alright) said (yes, it) telling everybody (oh, yes) though brings tear eyes, feel voice inside say i'm gonna alright said walk away day want stay (days want stay) leaving need (need do) okay (for okay) never thought would true (would true) living without (living without you) time make move, oh woah ah, ah used say (but did, baby) telling everybody (wasn't it) though brings tear eyes, feel (to eyes) know inside i'ma alright (be alright) said (but did) telling everybody (wasn't it) though brings tear eyes, feel voice inside say i'm gonna alright used say (oh, no) telling everybody though brings tear eyes, feel know inside i'ma alright (be alright) said telling everybody (i wasn't, no) though brings tear eyes, feel voice inside say i'm gonna alright used say telling everybody though brings tear eyes, feel know inside i'ma alright said telling everybody though brings tear eyes, feel voice inside say i'm gonna alright used say telling everybody though brings tear eyes, feel know inside i'ma alrightembed",3058
Oh Boy,Cam'ron,"blaze (oh baby) oh baby (uh) killa girl see (boy), look kick (boy) look car (boy), say (oh boy) look, mami, i'm good, i'm hood clap soldier sober, leave over, killa i'm companion, man's stand-in hit wanna get rammed in, i'll scramblin' (that's right) lot mobsters, shop lobster cop robbers, listen, every block blaka (blaka) like way diddy bop, peep that? (oh, peep that, right?) mink on, mauri kicks, plus chanel ski hat want (boy), give (boy) screamin' (boy, boy, boy, boy), killa, killa playin' herself, cam dig out, lift ma, fuck, girl, get out, pick want boy montana gun bandana listen homeboy santana y'all nigga can't fuck (boy), i'm tellin' ya (boy) put shell ya (boy), bleedin' (oh boy) get him, call (boy), wheezin', need (boy) screamin' (boy, boy, boy, boy) damn, shut (boy), he's snitchin' (oh boy) nigga's bitchin' (boy), he's twisted (oh boy) fed listenin' (boy), damn, whoa, whoa, come i'm trouble, need bail money, shit fuck (boy)? got trust (boy) that's fuck (boy), that's nigga (oh boy) gon' come get (boy), got love (boy) that's (boy, boy, boy, boy) uh-huh, uh-huh might also like got caught (boy), went court (boy) (boy), sayin' (oh boy) block (boy) rock (boy) cop come— squalie! yeah, sport car bonita's, jimmy's, pj's, old school, eighteenth sport bar eight nine (boy) holla boy (boy, boy, boy, boy), killa, holla, listen d-i-p (boy) plus r-o-c (boy) d-o-a (boy), mom say (oh boy) shit, ain't stoppin' 'em, guns, got lot 'em (boy, boy, boy, boy, shit) matter fact, guru start poppin' 'em slap (boy), clap (boy) wrap (boy), get gat (oh boy) diplomat (boy) girl (boy) say (boy, boy, boy, boy), yeah, yeah see cam (boy), say damn (oh boy) santana's (boy) squeeze hammer (oh boy) cannon bandanas, blammers, brandish (boy, boy, boy) blam man's canvas, scram man's leaded i'm back (boy) man vanished away grand canyon, kid grand standin' nigga demand ransom gram scramblin' (boy, boy, boy, boy) well, fuck it, van damme 'em, cam'll blam blam 'em call (boy), i'm south tannin' mami, got remedy, tommy's enemy homi's bodies, body, feelin' finicky killa capo, chill morocco reala got dough, chinchilla dough fill hollows, huh (boy) said, (boy) i'm (boy, boy, boy, boy) killa boy oh boy boy oh boy boy, boy, boy boy, boy, boy, boy18embed",3120
Heaven,DJ Sammy,"baby, want lying arm (my arms) i'm finding hard believe (believe) we're heaven we're heaven oh, thinkin' younger year young wild free nothing take away we've road that's (over now) keep comin' back baby, want lying arm i'm finding hard believe (believe) we're heaven love need found heart hard see (see) we're heaven (we're heaven) might also like now, nothing could change mean me, oh there's lot could say hold (hold now) 'cause love light way baby, want lying arm i'm finding hard believe we're heaven love need found heart hard see (see) we're heaven (heaven) dream comin' true good time bad i'll standing (we're heaven) love need found heart hard see we're heaven oh, oh, oh oh, oh, oh we're heaven5embed",1288
Hey Baby,No Doubt,"hey baby, hey baby, hey! girl say, boy say: ""hey baby, hey baby, hey!"" hey baby, baby... i'm kinda girl hang guy like fly wall secret eye takin' in, try feminine makeup bag, watchin' sin misfit, sit lit up, wicked everybody else surrounded girl tank top flirty word (hey baby) i'm sippin' chamomile watchin' boy girl sex appeal stranger face say know mom went high school boy say: ""hey baby, hey baby, hey!"" girl say, girl say: ""hey baby, hey baby, hey!"" hey baby, baby... (hey baby) hey baby, hey baby, hey! boy say, boy say: ""hey baby, hey baby, hey!"" boy get girl back (back, back, back, back) might also like i'm one feed upon give bit, star born hot enough get pas tell friend made back matter say, i'm still somehow everybody know name girl wanna get boy boy really like boy say: ""hey baby, hey baby, hey!"" girl say, girl say: ""hey baby, hey baby, hey!"" hey baby, baby... (hey baby) hey baby, hey baby, hey! boy say, boy say: ""hey baby, hey baby, hey!"" boy get girl back (back) check out, it’s bounty killer doubt! jump stage make going crazy afterwards one gorgeous lady (that's right!) need acting shady come on, baby, hey, hey baby jump stage, make going crazy afterwards one gorgeous lady need acting shady come on, baby, hey, hey baby rock hip know that, amaze got hook nothing else phase one sunshine lady? 'if', 'maybe?' hey baby! i'm sippin' chamomile watchin' boy girl sex appeal stranger face say know mom went high school that's right! boy say: ""hey baby, hey baby, hey!"" girl say, girl say: ""hey baby, hey baby, hey!"" hey baby, baby... (hey baby) hey baby, hey baby, hey! boy say, boy say: ""hey baby, hey baby, hey!"" one sunshine lady? bay- hey baby, hey baby, hey! girl say (hey baby), girl say: ""hey baby, hey baby, hey!"" rock hip know (hey baby) amaze hey baby, hey baby, hey! (hey baby) boy say (hey baby), boy say: ""hey baby, hey baby, hey!"" boy get girl back4embed",2591
